Asteroids	platforms	Arcade, [[#Ports
China Warrior	platforms	TurboGrafx 16
China Warrior	platforms	PC Engine
China Warrior	platforms	Virtual Console
China Warrior	platforms	PlayStation Network
China Warrior	platforms	Mobile phone
Madden NFL 97	platforms	Game Boy
Madden NFL 97	platforms	Sega Genesis
Madden NFL 97	platforms	PlayStation
Madden NFL 97	platforms	Sega Saturn
Madden NFL 97	platforms	Super Nintendo Entertainment System
Madden NFL 97	platforms	Microsoft Windows
Madden Football 64	platforms	Nintendo 64
John Madden Football II	platforms	Personal Computer
John Madden Football	platforms	Commodore 64
John Madden Football	platforms	Commodore 128
John Madden Football	platforms	Apple II
John Madden Football	platforms	MS-DOS
John Madden Football	platforms	Sega Genesis
John Madden Football	platforms	Super Nintendo Entertainment System
John Madden Football	platforms	Amiga
Summon Night: Swordcraft Story 2	platforms	Game Boy Advance
Blazing Lazers	platforms	TurboGrafx-16
Blazing Lazers	platforms	Virtual Console
Blazing Lazers	platforms	PlayStation Network
Kwirk	platforms	Game Boy
Kwirk	platforms	PC Engine
Vapor Trail: Hyper Offence Formation	platforms	Arcade Game
Vapor Trail: Hyper Offence Formation	platforms	Sega Mega Drive
Final Blow	platforms	Arcade game
Final Blow	platforms	Mega Drive
Final Blow	platforms	Amiga
Final Blow	platforms	Atari ST
Final Blow	platforms	Commodore 64
Total Distortion	platforms	Microsoft Windows
Total Distortion	platforms	Macintosh
Heatseeker	platforms	Wii
Heatseeker	platforms	PlayStation 2
Heatseeker	platforms	PlayStation Portable
Shepherd's Bush railway station	platforms	2
GT Racing	platforms	Super Nintendo Entertainment System
Revenge of the 'Gator	platforms	Game Boy
Revenge of the 'Gator	platforms	Virtual Console
Ketsui: Kizuna Jigoku Tachi	platforms	Arcade game
Ketsui: Kizuna Jigoku Tachi	platforms	Nintendo DS
Ketsui: Kizuna Jigoku Tachi	platforms	Xbox 360
Ketsui: Kizuna Jigoku Tachi	platforms	PlayStation 3
The Elder Scrolls IV: Knights of the Nine	platforms	Microsoft Windows
The Elder Scrolls IV: Knights of the Nine	platforms	Xbox 360
The Elder Scrolls IV: Knights of the Nine	platforms	PlayStation 3
Star Trek: Phaser Strike	platforms	Microvision
Perseus and Andromeda	platforms	ZX Spectrum
Perseus and Andromeda	platforms	Atari 8-bit
Perseus and Andromeda	platforms	Acorn Electron
Perseus and Andromeda	platforms	BBC Micro
Perseus and Andromeda	platforms	Commodore 64
Perseus and Andromeda	platforms	64
Perseus and Andromeda	platforms	Oric-1
Ragnarök	platforms	Cross-platform
Heroes Chronicles	platforms	Microsoft Windows
Double Axle	platforms	Arcade game
Shin Megami Tensei: Devil Summoner	platforms	*
Shin Megami Tensei: Devil Summoner	platforms	Sega Saturn
Shin Megami Tensei: Devil Summoner	platforms	PlayStation Portable
Rayman Raving Rabbids	platforms	Game Boy Advance
Rayman Raving Rabbids	platforms	Nintendo DS
Goof Troop	platforms	Super Nintendo Entertainment System
Fraction Fever	platforms	Atari 8-bit family
Fraction Fever	platforms	ColecoVision
Fraction Fever	platforms	Commodore 64
Fraction Fever	platforms	,
Fraction Fever	platforms	TRS-80
Fraction Fever	platforms	ZX Spectrum
Echo Night: Beyond	platforms	PlayStation 2
Victorious Boxers: Ippo's Road to Glory	platforms	PlayStation 2
Links 2004	platforms	Xbox
Spawn	platforms	Game Boy Color
Millennia: Altered Destinies	platforms	DOS
Raiden Fighters	platforms	Arcade game
Raiden Fighters	platforms	Microsoft Windows
Mickey's Safari in Letterland	platforms	Nintendo Entertainment System
Millionaire	platforms	ZX Spectrum
Millionaire	platforms	Acorn Electron
Millionaire	platforms	BBC Micro
Van Helsing	platforms	PlayStation 2
Van Helsing	platforms	Xbox
Van Helsing	platforms	Game Boy Advance
Van Helsing	platforms	Mobile phone
Far Cry 2	platforms	Microsoft Windows
Far Cry 2	platforms	PlayStation 3
Far Cry 2	platforms	Xbox 360
Might and Magic Mobile	platforms	Java Platform, Micro Edition
Combat Flight Simulator 3: Battle for Europe	platforms	Microsoft Windows
PoxNora	platforms	Java
PoxNora	platforms	PlayStation Vita
PoxNora	platforms	PlayStation 4
Highlandman railway station	platforms	1
Muthill railway station	platforms	2
Balgowan railway station	platforms	?
Madderty railway station	platforms	2
Abercairney railway station	platforms	1
Innerpeffray railway station	platforms	?
Tullibardine railway station	platforms	1
Ruthin railway station	platforms	2
Denbigh railway station	platforms	2
Frongoch railway station	platforms	1
Capel Celyn Halt railway station	platforms	1
Arenig railway station	platforms	2
Trawsfynydd Lake Halt railway station	platforms	1
Trawsfynydd railway station	platforms	2
Maentwrog Road railway station	platforms	1
Manod railway station	platforms	1
Catterick Camp railway station	platforms	1
Catterick Bridge railway station	platforms	2
Lupin the 3rd: Treasure of the Sorcerer King	platforms	PlayStation 2
Top Angler: Real Bass Fishing	platforms	PlayStation 2
Top Angler: Real Bass Fishing	platforms	Nintendo GameCube
Dragon Ball Z: Buyū Retsuden	platforms	Sega Genesis
Professor Layton and the Curious Village	platforms	Nintendo DS
Professor Layton and the Curious Village	platforms	Mobile phone
Captain Tsubasa 3: Koutei no Chousen	platforms	Super Nintendo Entertainment System
Kororinpa	platforms	Wii
Kororinpa	platforms	Mobile phone
Tail Concerto	platforms	PlayStation
Crimson Tears	platforms	PlayStation 2
Bomberman Quest	platforms	Game Boy Color
Akira	platforms	Nintendo Entertainment System
Line Rider	platforms	Microsoft Silverlight
Line Rider	platforms	Adobe Flash
Nadia: The Secret of Blue Water	platforms	Nintendo Entertainment System
Nadia: The Secret of Blue Water	platforms	Sega Mega Drive
Nadia: The Secret of Blue Water	platforms	Sharp X68000
Nadia: The Secret of Blue Water	platforms	FM Towns
Nadia: The Secret of Blue Water	platforms	NEC PC-9801
Nadia: The Secret of Blue Water	platforms	PC Engine CD
Ushio to Tora: Shin'en no Daiyō	platforms	Nintendo Entertainment System
Tengai Makyō II: Manjimaru	platforms	PC-Engine Super CD-ROM², GameCube, PlayStation 2, Nintendo DS, PlayStation Network
Quartet	platforms	Arcade game
Quartet	platforms	Sega Master System
Quartet	platforms	Amstrad CPC
Quartet	platforms	Commodore 64
Quartet	platforms	ZX Spectrum
Age of Pirates: Captain Blood	platforms	Microsoft Windows
Age of Pirates: Captain Blood	platforms	PlayStation 3
Age of Pirates: Captain Blood	platforms	Xbox 360
Age of Pirates: Captain Blood	platforms	Wii U
Made Man	platforms	Microsoft Windows
Made Man	platforms	PlayStation 2
Infinity Online	platforms	Microsoft Windows
Flame Dragon Plus: Marks of Wind	platforms	DOS
The Sims 2: Seasons	platforms	Microsoft Windows
The Sims 2: Seasons	platforms	OS X
Super International Cricket	platforms	Super Nintendo Entertainment System
Fist of the North Star	platforms	Arcade game
Fist of the North Star	platforms	PlayStation 2
Marvel Trading Card Game	platforms	Nintendo DS
Marvel Trading Card Game	platforms	Personal computer
Marvel Trading Card Game	platforms	PlayStation Portable
Hot Wheels Extreme Racing	platforms	PlayStation
WWF Royal Rumble	platforms	Video game arcade cabinet
WWF Royal Rumble	platforms	Dreamcast
Nancy Drew: The White Wolf of Icicle Creek	platforms	Wii
Nancy Drew: The White Wolf of Icicle Creek	platforms	Microsoft Windows
Mexican Motor Mafia	platforms	PC
Secret Service	platforms	Microsoft Windows
Sky Diver	platforms	Arcade game
Sky Diver	platforms	Atari 2600
Sky Diver	platforms	Microsoft Windows
Sky Diver	platforms	PlayStation 2
Sky Diver	platforms	Xbox
Thrybergh Tins railway station	platforms	1
Parkgate and Aldwarke railway station	platforms	2
Rotherham Road railway station	platforms	2
WWF Raw	platforms	Super Nintendo Entertainment System
WWF Raw	platforms	Sega 32X
WWF Raw	platforms	Sega Genesis
WWF Raw	platforms	Game Boy
WWF Raw	platforms	Sega Game Gear
Giffen railway station	platforms	3
Auchenmade railway station	platforms	2
Segagaga	platforms	Dreamcast
Kilwinning East railway station	platforms	3
Mickey's Ultimate Challenge	platforms	Sega Genesis
Mickey's Ultimate Challenge	platforms	SNES
Mickey's Ultimate Challenge	platforms	Game Boy
Mickey's Ultimate Challenge	platforms	Game Gear
Mickey's Ultimate Challenge	platforms	Master System
Star Trek: Deep Space Nine: The Fallen	platforms	Microsoft Windows
Star Trek: Deep Space Nine: The Fallen	platforms	Mac OS
Dinnington and Laughton railway station	platforms	2
Anston railway station	platforms	2
Tickhill and Wadworth railway station	platforms	2
Maltby railway station	platforms	2
Championship Manager 2007	platforms	Personal Computer
Championship Manager 2007	platforms	Xbox 360
Championship Manager 2007	platforms	PlayStation 2
Championship Manager 2007	platforms	PlayStation Portable
Championship Manager 2007	platforms	Mac OS X
Task Force 1942	platforms	MS-DOS
Jackie Chan Stuntmaster	platforms	PlayStation
Stevenston Moorpark railway station	platforms	2
Saltcoats North railway station	platforms	2
Ardrossan North railway station	platforms	4
Tomb Raider: Curse of the Sword	platforms	Game Boy Color
Grange Lane	platforms	2
Catcliffe railway station	platforms	2
Bovey railway station	platforms	2
Heathfield	platforms	3
Moretonhampstead railway station	platforms	1
Deadlight	platforms	Xbox 360
Deadlight	platforms	Microsoft Windows
Deadlight	platforms	PlayStation 4
Deadlight	platforms	Xbox One
Partick West railway station	platforms	4
Weyhill railway station	platforms	2
Woofferton railway station	platforms	3
2400 A.D.	platforms	Apple II family
2400 A.D.	platforms	DOS
Perestroika	platforms	*
Perestroika	platforms	DOS
Perestroika	platforms	Microsoft Windows
Granborough Road railway station	platforms	2
Winslow Road railway station	platforms	2
Welsh Harp railway station	platforms	2
Napsbury railway station	platforms	2
Kelvinside railway station	platforms	2
Crow Road railway station	platforms	2
Possil railway station	platforms	3
Chiltern Green railway station	platforms	2
Ampthill railway station	platforms	4
Southampton Terminus railway station	platforms	6
Top Shop	platforms	•PlayStation
Top Shop	platforms	•Sega Saturn
Sonic Riders: Zero Gravity	platforms	Wii
Sonic Riders: Zero Gravity	platforms	PlayStation 2
Sharnbrook railway station	platforms	2
Finedon railway station	platforms	2
Isham and Burton Latimer railway station	platforms	2
Def Jam: Icon	platforms	PlayStation 3
Def Jam: Icon	platforms	Xbox 360
Madden NFL 08	platforms	PlayStation 2
Madden NFL 08	platforms	PlayStation 3
Madden NFL 08	platforms	PlayStation Portable
Madden NFL 08	platforms	Microsoft Windows
Madden NFL 08	platforms	Nintendo DS
Madden NFL 08	platforms	Wii
Madden NFL 08	platforms	Xbox
Madden NFL 08	platforms	Xbox 360
Madden NFL 08	platforms	Nintendo GameCube
Madden NFL 08	platforms	Personal computer
Madden NFL 08	platforms	Mobile phone
Madden NFL 08	platforms	OS X
Global Conflicts: Palestine	platforms	Mac OS X
Global Conflicts: Palestine	platforms	Microsoft Windows
Rushton railway station	platforms	2
Desborough railway station	platforms	2
Gunster: Rain of Bullets	platforms	Microsoft Windows
Combat Flight Simulator 2	platforms	Microsoft Windows
Wacky Races: Starring Dastardly and Muttley	platforms	PlayStation 2
East Langton railway station	platforms	2
Kibworth railway station	platforms	2
Great Glen railway station	platforms	2
Journey Escape	platforms	Atari 2600
Wombwell Central railway station	platforms	2
Ecclesfield East railway station	platforms	2
IndyCar Racing II	platforms	MS-DOS
IndyCar Racing II	platforms	Mac OS
IndyCar Racing II	platforms	Windows 95
Captain Tsubasa Vol. II: Super Striker	platforms	Nintendo Entertainment System
The Super Dimension Fortress Macross	platforms	Nintendo Entertainment System
Hello Kitty no Hanabatake	platforms	Nintendo Entertainment System
Fist of the North Star	platforms	Nintendo Entertainment System
Master of Illusion	platforms	Nintendo DS
Master of Illusion	platforms	Nintendo DSi
Mobile Suit Z Gundam: Hot Scramble	platforms	Nintendo Entertainment System
Mobile Suit Z Gundam: Hot Scramble	platforms	Game Boy Advance
Sanrio Cup: Pon Pon Volley	platforms	Nintendo Entertainment System
World Destruction League: Thunder Tanks	platforms	PlayStation 2
World Destruction League: Thunder Tanks	platforms	PlayStation
World Destruction League: Thunder Tanks	platforms	Game Boy Color
Zendoku	platforms	Nintendo DS
Zendoku	platforms	PlayStation Portable
Beighton railway station	platforms	2
Ganbare Goemon: Sarawareta Ebisumaru!	platforms	Game Boy
Ganbare Goemon: Sarawareta Ebisumaru!	platforms	Game Boy Color
Ganbare Goemon: Sarawareta Ebisumaru!	platforms	Virtual Console
Democracy	platforms	Linux
Democracy	platforms	Microsoft Windows
Democracy	platforms	Macintosh
Alien Trilogy	platforms	PlayStation
Alien Trilogy	platforms	Sega Saturn
Alien Trilogy	platforms	MS-DOS
Medieval Lords: Build, Defend, Expand	platforms	Microsoft Windows
Doushin: Same Heart	platforms	Microsoft Windows
Superman: Countdown to Apokolips	platforms	Game Boy Advance
Batman: Gotham City Racer	platforms	PlayStation
Batman: Chaos in Gotham	platforms	Game Boy Color
Justice League: Injustice for All	platforms	Game Boy Advance
Justice League: Chronicles	platforms	Game Boy Advance
New Bermondsey railway station	platforms	2
Swinton Central railway station	platforms	2
Matlock Riverside railway station	platforms	1
Spider-Man: Battle for New York	platforms	Game Boy Advance
Spider-Man: Battle for New York	platforms	Nintendo DS
Spider-Man: Battle for New York	platforms	Mobile phone
Bogside Moor Halt railway station	platforms	2
Irvine Bank Street railway station	platforms	2
Virtua Fighter Animation	platforms	Sega Game Gear
Virtua Fighter Animation	platforms	Sega Master System
Ardrossan Montgomerie Pier railway station	platforms	2
Hellfire	platforms	Arcade game
Hellfire	platforms	Sega Genesis
Hellfire	platforms	TurboGrafx-16
Mobile Suit Gundam: Crossfire	platforms	PlayStation 3
Cricket 07	platforms	Microsoft Windows
Cricket 07	platforms	PlayStation 2
Lawnmower Racing Mania 2007	platforms	Microsoft Windows
Lawnmower Racing Mania 2007	platforms	Xbox
Chaos League	platforms	Microsoft Windows
Valis IV	platforms	TurboGrafx-16
Valis IV	platforms	Super Nintendo Entertainment System
Valis IV	platforms	Windows
Valis II	platforms	PC-8801, MSX, PC-9801, PC Engine/TurboGrafx-16 , X68000, Windows
Titus the Fox	platforms	Amiga
Titus the Fox	platforms	Amstrad CPC
Titus the Fox	platforms	Atari ST
Titus the Fox	platforms	DOS
Titus the Fox	platforms	Game Boy
Titus the Fox	platforms	Game Boy Color
Diner Dash: Flo on the Go	platforms	BlackBerry
Diner Dash: Flo on the Go	platforms	Mac OS X
Diner Dash: Flo on the Go	platforms	Nintendo DS
Diner Dash: Flo on the Go	platforms	Microsoft Windows
Everest Ascent	platforms	ZX Spectrum
Everest Ascent	platforms	Commodore 64
Gyroscope	platforms	Acorn Electron
Gyroscope	platforms	Amstrad CPC
Gyroscope	platforms	BBC Micro
Gyroscope	platforms	Commodore 64
Gyroscope	platforms	ZX Spectrum
Xak I & II	platforms	PC Engine CD
Valhalla Knights	platforms	PlayStation Portable
Pete Rose Baseball	platforms	Atari 2600
Pete Rose Baseball	platforms	Atari 7800
Mind Quiz	platforms	Nintendo DS
Mind Quiz	platforms	PlayStation Portable
Deepcar railway station	platforms	2
Oughty Bridge railway station	platforms	2
Lyoncross railway station	platforms	None opened
Fray in Magical Adventure	platforms	MSX2
Fray in Magical Adventure	platforms	MSX turbo R
Fray in Magical Adventure	platforms	NEC PC-9801
Fray in Magical Adventure	platforms	PC Engine
Fray in Magical Adventure	platforms	Sega Game Gear
Filey Holiday Camp railway station	platforms	4
Tom Clancy's Ghost Recon Advanced Warfighter 2	platforms	Xbox 360
Tom Clancy's Ghost Recon Advanced Warfighter 2	platforms	Microsoft Windows
Tom Clancy's Ghost Recon Advanced Warfighter 2	platforms	PlayStation 3
Tom Clancy's Ghost Recon Advanced Warfighter 2	platforms	PlayStation Portable
Aliens: The Computer Game	platforms	Amstrad CPC
Aliens: The Computer Game	platforms	Commodore 16
Aliens: The Computer Game	platforms	Commodore 64
Aliens: The Computer Game	platforms	ZX Spectrum
Gurume Sentai Barayarō	platforms	Super Nintendo Entertainment System
Aliens: The Computer Game	platforms	Amstrad CPC
Aliens: The Computer Game	platforms	Apple II
Aliens: The Computer Game	platforms	Commodore 64
Aliens: The Computer Game	platforms	ZX Spectrum
Neon Wars	platforms	Personal computer
Shinobido: Way of the Ninja	platforms	PlayStation 2
Aliens: A Comic Book Adventure	platforms	DOS
Aliens Online	platforms	Microsoft Windows
Flight Assignment: A.T.P.	platforms	DOS
The Tower of Cabin	platforms	MSX2
The Tower of Cabin	platforms	NEC PC9801
Brooktown High	platforms	PlayStation Portable
Stroker	platforms	64.0
Blood Will Tell	platforms	PlayStation 2
TV Champion	platforms	Game Boy
Las Vegas Cool Hand	platforms	Game Boy Color
Las Vegas Cool Hand	platforms	Game Boy
Project Sylpheed	platforms	Xbox 360
Chapeltown Central railway station	platforms	2
Crystal Palace	platforms	6
Westwood railway station	platforms	2
Birdwell & Hoyland Common railway station	platforms	2
Old Oak Common railway station	platforms	14
Micheldever railway station	platforms	3
Fallout Shelter	platforms	IOS
Fallout Shelter	platforms	Android
Fallout Shelter	platforms	Microsoft Windows
Xak III: The Eternal Recurrence	platforms	NEC PC-9801
Xak III: The Eternal Recurrence	platforms	FM Towns
Xak III: The Eternal Recurrence	platforms	PC Engine CD
Murder on the Zinderneuf	platforms	Apple II, Commodore 64, Atari 8-bit, PC
Neepsend railway station	platforms	2
Predator	platforms	Acorn Electron
Predator	platforms	Amiga
Predator	platforms	Amstrad CPC
Predator	platforms	Atari ST
Predator	platforms	BBC Micro
Predator	platforms	Commodore 64
Predator	platforms	ZX Spectrum
Predator 2	platforms	Sega Game Gear
Predator 2	platforms	Sega Genesis
Predator 2	platforms	Sega Master System
Mat Mania – The Prowrestling Network	platforms	Arcade \nPS4
Silkworm	platforms	Arcade game
Silkworm	platforms	Amiga
Silkworm	platforms	Amstrad CPC
Silkworm	platforms	Atari ST
Silkworm	platforms	Commodore 64
Silkworm	platforms	Nintendo Entertainment System
Silkworm	platforms	ZX Spectrum
Imogen	platforms	BBC Micro
Imogen	platforms	Acorn Electron
ArchLord	platforms	Microsoft Windows
Trouble House Halt railway station	platforms	1
Tumby Woodside railway station	platforms	2
Warrior	platforms	Arcade game
Ore no Ryouri	platforms	PlayStation
Elderslie railway station	platforms	4
Glengarnock High railway station	platforms	2
Brackenhills railway station	platforms	1
Oregon Trail II	platforms	Apple Macintosh
Oregon Trail II	platforms	MS-DOS
Oregon Trail II	platforms	Microsoft Windows
The Punisher	platforms	PlayStation 2
The Punisher	platforms	Xbox
The Punisher	platforms	Microsoft Windows
The Punisher	platforms	Mobile phone
Nicktoons Racing	platforms	Arcade game
Nicktoons Racing	platforms	Game Boy Advance
Nicktoons Racing	platforms	Game Boy Color
Nicktoons Racing	platforms	Microsoft Windows
Nicktoons Racing	platforms	PlayStation
Warrior Kings	platforms	Microsoft Windows
Warrior Kings	platforms	Mac OS
Warrior Kings	platforms	Mac OS X
Pelé's Soccer	platforms	Atari 2600
Kilbirnie railway station	platforms	2
Kilbirnie South railway station	platforms	2
Street Trace NYC	platforms	Xbox 360
F1 ROC II: Race of Champions	platforms	Super Nintendo Entertainment System
Let's Make a Soccer Team!	platforms	PlayStation 2
Waxworks	platforms	Commodore Amiga
Waxworks	platforms	DOS
Hades Nebula	platforms	Atari ST
Hades Nebula	platforms	Commodore 64
Hades Nebula	platforms	ZX Spectrum
Styx	platforms	IBM XT
Styx	platforms	IBM PC
A Vampyre Story	platforms	Microsoft Windows
A Vampyre Story	platforms	Mac OS X
DemonStar	platforms	Microsoft Windows
Mr. Bones	platforms	Sega Saturn
Power Punch II	platforms	Nintendo Entertainment System
The King of Dragons	platforms	Arcade game
The King of Dragons	platforms	Super Nintendo Entertainment System
Lugton High railway station	platforms	2
Cyber Empires	platforms	Amiga
Cyber Empires	platforms	Atari ST
Cyber Empires	platforms	MS-DOS
Sinfin Central railway station	platforms	1
Sinfin North railway station	platforms	1
DeFRaG	platforms	Mac OS X
DeFRaG	platforms	Linux
DeFRaG	platforms	Microsoft Windows
Ramsline Halt railway station	platforms	1
List of Sailor Moon video games	platforms	Super Nintendo Entertainment System
List of Sailor Moon video games	platforms	Sega Genesis
List of Sailor Moon video games	platforms	3
List of Sailor Moon video games	platforms	PlayStation
List of Sailor Moon video games	platforms	Sega Saturn
Race – The Official WTCC Game	platforms	Microsoft Windows
Battle Fantasia	platforms	Arcade game
Battle Fantasia	platforms	Microsoft Windows
Battle Fantasia	platforms	PlayStation 3
Battle Fantasia	platforms	Xbox 360
Monty Python & the Quest for the Holy Grail	platforms	Microsoft Windows
Monty Python & the Quest for the Holy Grail	platforms	Macintosh
Kane	platforms	Acorn Electron
Kane	platforms	Amstrad CPC
Kane	platforms	BBC Micro
Kane	platforms	Commodore 16
Kane	platforms	4
Kane	platforms	Commodore 64
Kane	platforms	ZX Spectrum
Streaker	platforms	ZX Spectrum
Streaker	platforms	Amstrad CPC
Streaker	platforms	Commodore 64
Streaker	platforms	MSX
Star Wars Arcade	platforms	Arcade game
Star Wars Arcade	platforms	Sega 32X
Cosmic Camouflage	platforms	Acorn Electron
Cosmic Camouflage	platforms	BBC Micro
Grand Prix Construction Set	platforms	BBC Micro
Space Empires V	platforms	Personal computer
Splashdown	platforms	PlayStation 2
Splashdown	platforms	Xbox
Hickleton and Thurnscoe Halt railway station	platforms	1
Ultimate Body Blows	platforms	Amiga CD32
Ultimate Body Blows	platforms	DOS
HoopWorld	platforms	Wii
Laser Chess	platforms	Atari ST
Laser Chess	platforms	Commodore Amiga
Laser Chess	platforms	Commodore 64
Laser Chess	platforms	Apple II
Laser Chess	platforms	Atari 8-bit family
Michael Andretti's World GP	platforms	Nintendo Entertainment System
Guild Wars	platforms	Microsoft Windows
Out of the Shadows	platforms	ZX Spectrum
Uplawmoor	platforms	2
Vastar	platforms	Arcade game
Rolling Thunder 3	platforms	Sega Genesis
Super Fruit Fall	platforms	Wii
Super Fruit Fall	platforms	PlayStation 2
Super Fruit Fall	platforms	PlayStation Portable
Super Fruit Fall	platforms	Nintendo DS
Crosshouse railway station	platforms	4
Raiden Fighters Jet	platforms	Arcade game
Raiden Fighters Jet	platforms	Microsoft Windows
Montgreenan railway station	platforms	2
Sneak King	platforms	Xbox
Sneak King	platforms	Xbox 360
Cunninghamhead railway station	platforms	2
Bogside railway station	platforms	2
Dreghorn railway station	platforms	2
Springside railway station	platforms	2
Tenshi no Uta	platforms	Super Nintendo Entertainment System
NASCAR Racing 4	platforms	Microsoft Windows
Godzilla: Battle Legends	platforms	Turbo Duo
Wortley railway station	platforms	2
Neilston Low railway station	platforms	2
Hunter	platforms	Amiga
Hunter	platforms	Atari ST
Screamer	platforms	MS-DOS
Screamer	platforms	Microsoft Windows
Screamer	platforms	Macintosh
The Terminator: Rampage	platforms	DOS
Ardeer Platform railway station	platforms	1
Treasure Island	platforms	ZX Spectrum
Treasure Island	platforms	Commodore 64
Treasure Island	platforms	4
Treasure Island	platforms	Commodore 16
NASCAR Racing 2002 Season	platforms	Microsoft Windows
NASCAR Racing 2002 Season	platforms	Macintosh
PocketBike Racer	platforms	Xbox
PocketBike Racer	platforms	Xbox 360
Bratz: Rock Angelz	platforms	PlayStation 2
Bratz: Rock Angelz	platforms	Nintendo GameCube
Bratz: Rock Angelz	platforms	Game Boy Advance
Bratz: Rock Angelz	platforms	Microsoft Windows
Big Bumpin'	platforms	Xbox
Big Bumpin'	platforms	Xbox 360
Uplawmoor	platforms	2
TransWorld Surf	platforms	Xbox
TransWorld Surf	platforms	PlayStation 2
TransWorld Surf	platforms	Nintendo GameCube
Whirl Tour	platforms	Nintendo GameCube
Whirl Tour	platforms	PlayStation 2
Winnie the Pooh's Rumbly Tumbly Adventure	platforms	PlayStation 2
Winnie the Pooh's Rumbly Tumbly Adventure	platforms	GameCube
Winnie the Pooh's Rumbly Tumbly Adventure	platforms	Game Boy Advance
Lugton railway station	platforms	2
World Championship Poker	platforms	PlayStation 2
World Championship Poker	platforms	Game Boy Advance
World Championship Poker	platforms	Microsoft Windows
World Championship Poker	platforms	Xbox
World Championship Poker	platforms	Wii
World Championship Pool 2004	platforms	PlayStation 2
World Championship Pool 2004	platforms	Xbox
World Championship Pool 2004	platforms	Microsoft Windows
Barrmill railway station	platforms	1
Beith Town railway station	platforms	1
Zatch Bell! Mamodo Fury	platforms	PlayStation 2
Zatch Bell! Mamodo Fury	platforms	Nintendo GameCube
Strathbungo railway station	platforms	2
Beith North railway station	platforms	2
Drybridge railway station	platforms	2
Desperate Housewives: The Game	platforms	Microsoft Windows
Hebereke's Popoon	platforms	Super Nintendo Entertainment System, Arcade, Windows
Stocksbridge platform	platforms	1
The Legend of Heroes II: Prophecy of the Moonlight Witch	platforms	NEC PC-9801
The Legend of Heroes II: Prophecy of the Moonlight Witch	platforms	Sega Saturn
The Legend of Heroes II: Prophecy of the Moonlight Witch	platforms	PlayStation
The Legend of Heroes II: Prophecy of the Moonlight Witch	platforms	Microsoft Windows
The Legend of Heroes II: Prophecy of the Moonlight Witch	platforms	PlayStation Portable
The Legend of Heroes: A Tear of Vermillion	platforms	NEC PC-9801
The Legend of Heroes: A Tear of Vermillion	platforms	PlayStation
The Legend of Heroes: A Tear of Vermillion	platforms	Microsoft Windows
The Legend of Heroes: A Tear of Vermillion	platforms	PlayStation Portable
Downpatrick railway station	platforms	2
Gatehead railway station	platforms	2
Skynet	platforms	DOS
Batty	platforms	ZX Spectrum
Batty	platforms	Commodore 64
Batty	platforms	Amstrad CPC
Fish Tycoon	platforms	Microsoft Windows
Fish Tycoon	platforms	Windows Mobile
Fish Tycoon	platforms	Android Mobile
Fish Tycoon	platforms	Tapwave Zodiac
Fish Tycoon	platforms	Mac OS X
Fish Tycoon	platforms	Nintendo DS
Fish Tycoon	platforms	IOS
Fish Tycoon	platforms	Mobile phone
Fish Tycoon	platforms	Palm OS
Dread Dragon Droom	platforms	BBC Micro
Dread Dragon Droom	platforms	Acorn Archimedes
Dread Dragon Droom	platforms	Risc PC
Alexander	platforms	Microsoft Windows
Iron Man	platforms	PlayStation 2
Iron Man	platforms	PlayStation 3
Iron Man	platforms	PlayStation Portable
Iron Man	platforms	Wii
Iron Man	platforms	Nintendo DS
Iron Man	platforms	Xbox 360
Iron Man	platforms	Mobile phone
Iron Man	platforms	Microsoft Windows
Ikachan	platforms	Microsoft Windows
Ikachan	platforms	Nintendo 3DS
All Star Racing 2	platforms	PlayStation
Brine Lacrosse	platforms	Mobile phone
Bloody Roar 2	platforms	Arcade game
Bloody Roar 2	platforms	PlayStation
Coleshill Parkway railway station	platforms	2
Old Oak Lane Halt railway station	platforms	2
Mighty Morphin Power Rangers	platforms	SNES
Mighty Morphin Power Rangers	platforms	Sega CD
Mighty Morphin Power Rangers	platforms	Genesis
Mighty Morphin Power Rangers	platforms	Game Boy
Mighty Morphin Power Rangers	platforms	Sega Game Gear
Rogue Warrior	platforms	Microsoft Windows
Rogue Warrior	platforms	PlayStation 3
Rogue Warrior	platforms	Xbox 360
Vigilante	platforms	Arcade game
Vigilante	platforms	Amiga
Vigilante	platforms	Amstrad CPC
Vigilante	platforms	Atari ST
Vigilante	platforms	Sega Master System
Vigilante	platforms	Commodore 64
Vigilante	platforms	Sega Game Gear
Vigilante	platforms	MSX
Vigilante	platforms	TurboGrafx-16
Vigilante	platforms	ZX Spectrum
Vigilante	platforms	Virtual Console
The Terminator: Dawn of Fate	platforms	PlayStation 2
The Terminator: Dawn of Fate	platforms	Xbox
Mystical Ninja Starring Goemon	platforms	Game Boy
Mystical Ninja Starring Goemon	platforms	Virtual Console
The Crow: City of Angels	platforms	PlayStation
The Crow: City of Angels	platforms	Sega Saturn
The Crow: City of Angels	platforms	Microsoft Windows
RoboBlitz	platforms	Microsoft Windows
RoboBlitz	platforms	Xbox 360
Garstang and Catterall railway station	platforms	3
ATV Offroad Fury 4	platforms	PlayStation 2
Lochwinnoch	platforms	2
Kilbarchan railway station	platforms	2
Shao-lin's Road	platforms	Arcade game
Shao-lin's Road	platforms	Commodore 64
Shao-lin's Road	platforms	Amstrad CPC
